Source,Key,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8
infobox,Developer,Oracle Corporation,,,,,,,
infobox,OS family,Linux (Unix-like),,,,,,,
infobox,Working state,Current,,,,,,,
infobox,Source model,Open source,,,,,,,
infobox,Initial release,4.5 / 26 October 2006; 18 years ago,,,,,,,
infobox,Latest release,10.0[1] [2] / 26 June 2025; 3 months ago,,,,,,,
infobox,Marketing target,Enterprise and Cloud computing,,,,,,,
infobox,Update method,YUM (PackageKit)[3],,,,,,,
infobox,Package manager,RPM Package Manager,,,,,,,
infobox,Supported platforms,"IA-32, x86-64, SPARC, ARM64[4]",,,,,,,
infobox,Kernel type,Monolithic (Linux),,,,,,,
infobox,"Default
user interface",GNOME and KDE (user-selectable),,,,,,,
infobox,License,GNU GPL & various others.,,,,,,,
infobox,Official website,oracle.com/linux,,,,,,,
table_3,"i386, x86-64",4.5,?,2007-05-01,?,,,,
table_3,4.6,2007-12-10[50],2007-11-16,24,,,,,
table_3,4.7,2008-08-05[51],2008-07-24,12,,,,,
table_3,4.8,2009-05-26[52],2009-05-18,8,,,,,
table_3,4.9,?,2011-02-16,?,,,,,
table_3,5,2007-06-26[53],2007-03-14,104,,,,,
table_3,5.1,2007-11-26[54],2007-11-07,19,,,,,
table_3,5.2,2008-06-02[55],2008-05-21,12,,,,,
table_3,5.3,2009-01-28[56],2009-01-20,8,,,,,
table_3,"i386, x86-64, ia64",5.4,2009-09-09[57],2009-09-02,7,,,,
table_3,5.5,2010-04-07[58],2010-03-31,,,,,,
table_3,5.6,2011-01-22[59],2011-01-13,9,,,,,
table_3,5.7,2011-08-16[60],2011-07-21,26,,,,,
table_3,5.8,2012-03-02[61],2012-02-21,10,,,,,
table_3,5.9,2013-01-16[62],2013-01-07,9,,,,,
table_3,5.10,2013-10-08[63],2013-10-01,7,,,,,
table_3,5.11,2014-09-23[64],2014-09-16,,,,,,
table_3,"i386, x86-64",6,2011-02-11[65],2010-11-10,93,,,,
table_3,6.1,2011-06-01,2011-05-19,13,,,,,
table_3,6.2,2011-12-15,2011-12-06,9,,,,,
table_3,6.3,2012-06-28[66],2012-06-21,7,,,,,
table_3,6.4,2013-02-28[67],2013-02-21,,,,,,
table_3,6.5,2013-11-27[68],2013-11-21,6,,,,,
table_3,6.6,2014-10-21[69],2014-10-14,7,,,,,
table_3,6.7,2015-07-31[70],2015-07-22,9,,,,,
table_3,SPARC,2017-03-31[39],618,,,,,,
table_3,"i386, x86-64",6.8,2016-05-16[71],2016-05-10,6,,,,
table_3,6.9,2017-03-28[72],2017-03-21,7,,,,,
table_3,6.10,2018-07-02[73],2018-06-19,13,,,,,
table_3,x86-64,7.0,2014-07-23[74],2014-06-10,43,,,,
table_3,7.1,2015-03-12[75],2015-03-05,7,,,,,
table_3,7.2,2015-11-25[76],2015-11-19,6,,,,,
table_3,7.3,2016-11-10[77],2016-11-03,6,,,,,
table_3,7.4,2017-08-08[78],2017-07-31,8,,,,,
table_3,7.5,2018-04-17[79],2018-04-10,7,,,,,
table_3,"x86-64, ARM64",7.6,2018-11-07[80],2018-10-30,8,,,,
table_3,7.7,2019-08-15[81],2019-08-06,9,,,,,
table_3,7.8,2020-04-08[82],2020-03-31,8,,,,,
table_3,7.9,2020-10-07[83],2020-09-29,8,,,,,
table_3,8.0,2019-07-18[84],2019-05-07,72,,,,,
table_3,8.1,2019-11-15[85],2019-11-05,10,,,,,
table_3,8.2,2020-05-06[86],2020-04-28,8,,,,,
table_3,8.3,2020-11-13[87],2020-11-03[88],10,,,,,
table_3,8.4,2021-05-26[89],2021-05-18,8,,,,,
table_3,8.5,2021-11-16[90],2021-11-09,7,,,,,
table_3,8.6,2022-05-16[91],2022-05-10,6,,,,,
table_3,8.7,2022-11-16[92],2022-11-09,7,,,,,
table_3,8.8,2023-05-24[93],2023-05-16,8,,,,,
table_3,8.9,2023-11-21[94],2023-11-14[95],7,,,,,
table_3,8.10,2024-05-29[96],2024-05-22[97],7,,,,,
table_3,9.0,2022-06-30[44],2022-05-17[98],44,,,,,
table_3,9.1,2022-11-23[99],2022-11-15,8,,,,,
table_3,9.2,2023-05-24[93],2023-05-10,14,,,,,
table_3,9.3,2023-11-15[100],2023-11-08,7,,,,,
table_3,9.4,2024-05-06[101],2024-04-30,6,,,,,
table_3,9.5,2024-11-19[102],2024-11-12,7,,,,,
table_3,9.6,2025-05-27[103],2025-05-20,7,,,,,
table_3,10.0,2025-06-26[104],2025-05-20,37,,,,,
table_4,3,31 October 2011,—,,,,,,
table_4,4,28 February 2013,—,,,,,,
table_4,5,30 June 2017,30 November 2020,,,,,,
table_4,6,31 March 2021,31 December 2024,,,,,,
table_4,7,31 December 2024,30 June 2028,,,,,,
table_4,8,31 July 2029,31 July 2032,,,,,,
table_4,9,30 June 2032,30 June 2035,,,,,,
table_4,10,30 June 2035,30 June 2038,,,,,,
table_4,Legend: Unsupported Supported Latest version,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_5,,,,,,,,,
table_6,,,,,,,,,
table_6,,,,,,,,,
table_6,,,,,,,,,
table_6,,,,,,,,,
table_6,,,,,,,,,
table_6,,,,,,,,,
table_6,,,,,,,,,
table_6,,,,,,,,,
table_7,,,,,,,,,
table_7,,,,,,,,,
table_7,,,,,,,,,
table_7,,,,,,,,,
table_7,,,,,,,,,
table_8,,,,,,,,,
table_8,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_9,,,,,,,,,
table_13,,,,,,,,,
table_13,,,,,,,,,
table_13,,,,,,,,,
table_13,,,,,,,,,
table_13,,,,,,,,,
table_13,,,,,,,,,
table_13,,,,,,,,,
