Table_Source,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9
Table_1,Windows Server 2025,Long-Term Servicing Channel (LTSC),"Datacenter, Standard",2024-11-01,2029-11-13,2034-11-14,2025-09 B,2025-09-09,26100.6584
Table_1,Windows Server 2022,Long-Term Servicing Channel (LTSC),"Datacenter, Standard",2021-08-18,2026-10-13,2031-10-14,2025-09 B,2025-09-09,20348.4171
Table_1,Windows Server 2019 (version 1809),Long-Term Servicing Channel (LTSC),"Datacenter, Standard",2018-11-13,End of servicing,2029-01-09,2025-09 B,2025-09-09,17763.7792
Table_1,Windows Server 2016 (version 1607),Long-Term Servicing Branch (LTSB),"Datacenter, Essentials, Standard",2016-08-02,End of servicing,2027-01-12,2025-09 B,2025-09-09,14393.8422
Table_2,LTSC,2025-09 B,2025-09-09,26100.6584,KB5065426,,,,
Table_2,LTSC,2025-08 B,2025-08-12,26100.4946,KB5063878,,,,
Table_2,LTSC,2025-07 OOB,2025-07-13,26100.4656,KB5064489,,,,
Table_2,LTSC,2025-07 B,2025-07-08,26100.4652,KB5062553,,,,
Table_2,LTSC,2025-06 B,2025-06-10,26100.4349,KB5060842,,,,
Table_2,LTSC,2025-05 OOB,2025-05-27,26100.4066,KB5061977,,,,
Table_2,LTSC,2025-05 B,2025-05-13,26100.4061,KB5058411,,,,
Table_2,LTSC,2025-04 OOB,2025-04-16,26100.3781,KB5059087,,,,
Table_2,LTSC,2025-04 B,2025-04-08,26100.3775,KB5055523,,,,
Table_2,LTSC,2025-03 B,2025-03-11,26100.3476,KB5053598,,,,
Table_2,LTSC,2025-02 B,2025-02-11,26100.3194,KB5051987,,,,
Table_2,LTSC,2025-01 B,2025-01-14,26100.2894,KB5050009,,,,
Table_2,LTSC,2024-12 B,2024-12-10,26100.2605,KB5048667,,,,
Table_2,LTSC,2024-11 B,2024-11-12,26100.2314,KB5046617,,,,
Table_2,LTSC,2024-10 A,2024-11-01,26100.1742,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
